species,mat,map,elev,pet,rfl2mm,rflcv,summer_rain,tmax,tmin,tvar,height,canopy,leafarea,wood,lma,lwr,fwc,stomatal_density,nmass,d13c,cnratio,logheight,logcanopy,logleafarea,logwood,loglma,loglwr,logfwc,logsd,lognmass,logcnratio,sqrtmat,sqrtmap,sqrtelev,sqrtpet,sqrtrfl2mm,sqrtrflcv,sqrtsummer_rain,sqrttmax,sqrttvar
acaulos,12.69999981,789,78,1637.099976,22.8,36.2,44,38.09999847,1.9,40.50000153,9.173139163,1222.625236,14.04206433,0.578219111,0.033414833,4.491966544,1.384510728,45.63298725,0.707425472,-27.61380838,62.0366336,2.216279557,7.108755659,2.64205742,-0.547802397,-3.398755376,1.502290589,0.325346812,3.82063086,-0.346122995,4.127725075,3.56370591,28.08914381,8.831760866,40.46109213,4.774934555,6.016643583,6.633249581,6.172519621,6.363961151
acaulos,17.2,980,1050,2150.2,23.9,25.7,53,42.7,1.8,42.7,12.01981483,742.3885307,13.64662859,0.554631642,0.033731226,3.91599796,1.406087503,46.18134576,0.629019236,-26.53846617,68.34028931,2.486556524,6.609872732,2.613492501,-0.589451094,-3.389331283,1.365070204,0.340811027,3.832575945,-0.463593441,4.22449948,4.147288271,31.30495168,32.40370349,46.37024908,4.888762625,5.069516742,7.280109889,6.534523701,6.534523701
acaulos,16.9,819,619,2345.8,23.6,25.6,17,42,1.8,42.6,11.62835074,2207.61581,17.76120061,0.571239426,0.031003458,2.870571006,1.520819474,45.10091453,0.720079069,-28.82749474,73.43846222,2.453446146,7.699668393,2.877016337,-0.559946847,-3.473656532,1.054510967,0.419249317,3.808902524,-0.328394255,4.296447807,4.110960958,28.61817604,24.87971061,48.43345951,4.857983121,5.059644256,4.123105626,6.480740698,6.526867549
acaulos,16.10000038,783,529,1802.199951,20.3,18.9,18,39.5,1.7,37.39999998,9.980624808,1892.495894,14.50331205,0.520159311,0.036375204,2.769272472,1.371042323,44.63154763,0.609914121,-26.63955127,61.94208197,2.300645694,7.545651816,2.674377041,-0.653620147,-3.313867945,1.01858464,0.31557127,3.798440955,-0.494437117,4.126199787,4.012480577,27.98213716,23,42.45232563,4.50555213,4.347413024,4.242640687,6.284902545,6.115553939
acaulos,15.89999962,525,45,1957.599976,18.6,21.4,22,40.3,1.7,41.30000114,8.684382379,3494.936043,14.55929813,0.555997502,0.02750339,2.170306647,1.447468598,42.56486407,0.583714552,-27.75054292,73.46954877,2.161526284,8.159070355,2.678229836,-0.586991478,-3.593446009,0.77486847,0.369816236,3.751029126,-0.538343196,4.296871018,3.98748036,22.91287847,6.708203932,44.24477343,4.312771731,4.626013402,4.69041576,6.348228099,6.426507694
acaulos,17.9,510,264,1963,13.7,19.4,76,39.70000076,1.6,39.89999962,13.31944352,3774.483957,13.3417154,0.550963808,0.030392984,3.819856084,1.477084969,45.66659928,0.579423937,-27.49774797,81.51306067,2.589224886,8.236018952,2.590895623,-0.596086156,-3.493543487,1.340212748,0.39007053,3.821367162,-0.545720881,4.400763261,4.23083916,22.58317958,16.24807681,44.30575583,3.701351105,4.404543109,8.717797887,6.300793661,6.316644649
acaulos,16.5,480,235,2043.6,22.9,22.2,88,40.9,1.6,41.8,11.18447552,1804.824118,10.39449848,0.59486909,0.032829179,3.439647855,1.439986223,43.41963849,0.658902184,-26.80158095,69.5693465,2.414526702,7.498218424,2.341276674,-0.519413914,-3.416437555,1.235369098,0.364633546,3.770911839,-0.417180186,4.242324046,4.062019202,21.9089023,15.32970972,45.20619427,4.785394446,4.711687596,9.38083152,6.395310782,6.46529195
acaulos,16.8,382,1006,2091.6,18.7,19.2,17,41.2,1.4,39.50000076,12.00250623,4682.404323,18.79985386,0.567993666,0.033153672,5.214746935,1.368828307,44.04132696,0.649882283,-27.73832361,62.95278176,2.48511548,8.451567001,2.933849096,-0.565645012,-3.406601799,1.651490561,0.313955124,3.785128442,-0.430964036,4.14238495,4.098780306,19.54482029,31.71750305,45.7340136,4.324349662,4.38178046,4.123105626,6.418722614,6.284902605
acaulos,16.39999962,626,459,1769.199951,27,22.8,27,40.4,1.4,42.8,10.71744367,1036.837517,15.89882164,0.548080339,0.030933601,2.96143653,1.547898221,47.23818527,0.627125267,-27.73630546,60.50562344,2.371872664,6.94393051,2.766244996,-0.601333399,-3.475912275,1.085674465,0.436898024,3.855202575,-0.46660897,4.10273631,4.049691299,25.01999201,21.42428529,42.06185863,5.196152423,4.774934555,5.196152423,6.356099433,6.542170894
acaulos,15.69999981,278,398,2129.5,20.4,28.4,16,39.40000153,1.4,40.09999923,13.42304837,2074.158296,17.11227499,0.532272387,0.032648746,3.616186526,1.352944348,42.11709982,0.470486066,-27.46220861,72.20917557,2.596973257,7.63731071,2.839796042,-0.630599915,-3.421948831,1.285420025,0.302283216,3.74045383,-0.753988936,4.279567123,3.962322527,16.673332,19.94993734,46.14650583,4.516635916,5.329165038,4,6.276942052,6.332456019
