species,logheight,logcanopy,logleafarea,logwood,loglma,loglwr,logfwc,logsd,lognmass,d13c,logcnratio,sqrtmat,sqrtmap,sqrtelev,sqrtpet,sqrtrfl2mm,sqrtrflcv,sqrtsummer_rain,sqrttmax,tmin,sqrttvar
acaulos,2.423065918,7.474592488,2.695414205,-0.591178577,-3.464667578,1.264856747,0.36144378,3.795868574,-0.422602112,-27.33273634,4.302805748,3.978080734,23.07980206,19.96891005,44.23094248,4.389781196,4.984212972,5.915332441,6.260641469,-1.061726314,6.353575865
acuminata,4.851515587,9.270544946,0.978551164,-0.547802136,-3.352326649,2.728871156,0.032008125,4.085000545,-0.635396799,-26.88998121,4.561201867,3.865729318,19.87689481,27.68110699,45.822589,3.87334209,5.647536957,3.634657734,6.150150191,-2.389010526,6.347018364
amplexicaulis,3.974833457,9.118019436,2.613612177,-0.692214795,-3.854603845,0.696197349,0.503451467,3.413629628,-0.220181551,-27.88088618,4.129948344,3.759825794,22.70162549,28.01758555,42.65187546,4.1286499,5.294390428,5.869778531,6.068778296,-3.46567,6.358730219
aureaaurea,5.366938638,8.57322803,2.829579947,-0.629591958,-3.873799472,1.026338598,0.211095796,3.717588929,-0.306428113,-28.90324178,4.234167544,3.945813238,23.67382521,23.59126734,42.5404767,3.972690987,5.197644203,9.104082369,6.269422033,-2.800705263,6.507973247
aureapotbergensis,5.60285626,8.180433566,3.06065171,-0.548377545,-3.642820063,0.661364436,0.275123673,3.721948603,-0.289364745,-28.72986067,4.211619134,4.038631869,22.08656176,21.13341828,38.7390066,4.225428039,4.655916439,6.737350721,6.3394637,-1.598821053,6.480147009
caffra,5.032052288,9.955808267,3.314852965,-0.770202326,-3.858477831,1.650692866,0.587279531,4.630892122,-0.139605004,-26.19834505,4.042257412,4.03682001,27.53336923,37.04049704,43.81803366,5.1259854,4.922569932,18.002187,5.990299175,-5.1724,6.480019493
canaliculata,4.550735103,8.864254637,0.714410483,-0.72003673,-3.341246982,2.149149515,-0.061945726,3.521124283,-0.590161543,-25.98068161,4.501153739,3.620492842,17.68737284,33.70793596,45.45724492,3.390388892,5.801853606,4.946418162,5.990861461,-6.081873684,6.486665675
compacta,5.527182722,8.373338936,3.349592297,-0.750002531,-3.463462712,0.821670105,0.190671148,3.789324005,-0.6289602,-27.95870083,4.584695007,4.04226617,23.59786342,13.25183999,42.15225548,4.485086398,4.679293693,6.716045202,6.223897915,0.3822,6.23758894
comptonii,5.988720656,11.76257764,3.881965455,-0.672199938,-3.468030822,1.472405126,0.372878069,4.890293106,-0.285543388,-26.91154639,4.20292926,4.125597883,29.1272363,33.8269466,42.53330138,5.19935826,5.063219279,18.96039362,5.943123404,-2.096778947,6.238263085
cordata,3.220903657,6.227992423,4.062581959,-1.101650476,-3.640093099,0.000567497,0.551901463,3.585095907,-0.541098869,-29.54101781,4.41992046,3.965315412,24.97389795,19.62594952,41.11222024,4.384429387,4.929222208,7.70470123,6.222224175,-1.0016,6.35031288
coronata,5.316971239,9.13690556,2.074550088,-0.650493247,-4.209626466,1.376902723,0.173475879,3.842103745,-0.027616871,-29.80150041,3.94377109,4.052124849,24.85839898,18.28983612,42.2751125,4.250540523,5.004007868,9.044562193,6.31533222,-1.112073684,6.440022883
cryophila,3.639124301,8.081191782,4.447983063,-0.647801255,-2.775197017,2.046475243,0.032166913,3.696890138,-1.000505745,-25.29808006,4.904885077,3.659062758,19.2670567,32.2909699,45.03299948,3.971096893,5.540201402,3.159680197,5.78126739,-3.290915789,6.084688289
curvata,6.277551723,11.81421453,2.863905123,-0.565657237,-3.654590072,2.553223684,0.411159073,4.278526794,-0.695065409,-27.65712352,4.572234913,4.488865758,26.5318716,25.25655934,44.23322947,5.221514199,4.676478657,17.25929803,6.201879172,0.687021053,6.231529338
cynaroides,4.306942039,7.742854346,3.846789507,-1.068250672,-3.3805559,0.853133743,0.593129903,3.335108297,-0.614188011,-26.10839938,4.499543876,3.996516905,23.48763616,22.16594116,42.82812271,4.138764117,5.179540724,8.933355591,6.261125677,-2.057378947,6.435035681
decurrens,3.659944344,9.330249321,0.331315766,-0.489477136,-4.17190212,2.740631576,0.860997296,3.479744974,-0.352670936,-28.77958531,4.232062823,4.121494364,22.1298774,14.87734413,42.93557046,3.955595637,4.817469308,7.815073155,6.371660942,-1.088526316,6.497119199
denticulata,3.450366069,5.667814872,1.536739679,-0.547200959,-3.284874718,2.843324504,0.252177606,3.423313759,-0.746508701,-28.95544435,4.663366365,4.098162618,21.94747078,14.81425345,42.40051899,4.024124619,4.797955705,6.848611077,6.3436093,-0.937842105,6.467467575
dracomontana,3.656138467,8.291823757,3.028610931,-0.665296456,-3.463712671,1.280323221,0.208362334,4.147811608,-0.352871159,-26.53402258,4.25409928,3.720882862,32.51337214,43.8840026,39.36986251,6.08012119,4.574769479,21.85959503,5.794249418,-8.566863158,6.532951296
eximia,5.067392521,8.06167754,3.717219399,-0.710277948,-3.832532435,0.8394419,0.381375749,3.481770774,-0.385658706,-27.69610302,4.327313535,3.832068289,21.82426944,28.33548268,44.11216171,3.724585459,5.600085525,8.207640856,6.196155005,-4.539031579,6.566188512
gaguedi,4.882343473,9.702398943,3.223410353,-0.751944876,-3.835871273,1.812436498,0.502097835,4.559137895,-0.417196238,-26.70584222,4.320407168,4.125073524,29.11633833,35.69298029,43.82996331,5.226572793,5.006895246,19.22999849,5.977366961,-3.367894737,6.31502219
glabra,4.959959187,10.15111418,2.070706235,-0.424493334,-3.013462693,0.82293646,-0.111117066,4.173044518,-0.516511159,-24.44878858,4.451472031,3.969361609,17.36600127,26.4677659,47.61111248,3.685186562,5.635874751,2.944897461,6.314394583,-2.648305263,6.549518262
grandiceps,4.716525977,7.506042608,3.965837182,-1.101411252,-3.650278779,0.675775173,0.482767988,3.196251044,-0.389655659,-26.91248924,4.351456894,3.862265493,24.11253441,27.14665628,41.60267425,4.094025172,5.229884773,8.902371062,6.208321241,-3.436863158,6.481103707
intonsa,2.800976764,7.253627322,1.19797737,-0.785617673,-3.200323611,3.341457263,0.18210086,3.843705143,-0.502533892,-25.65082499,4.384262692,3.715910315,17.27594007,32.8828927,45.71661094,3.203166196,6.077419813,6.554468142,6.137893518,-7.005673684,6.696562355
lacticolor,5.427055657,9.383308914,2.978158748,.,-3.800643719,1.048913954,.,3.779802122,.,.,.,3.851023104,31.53605455,24.31693583,39.01939842,4.962700878,4.811341864,8.058143968,6.174921265,-1.833305263,6.323020597
laetans,5.959149739,11.41625195,3.128990906,-0.884437806,-3.618133166,1.834742149,0.36143491,4.337183877,-0.38856257,-27.09097038,4.297932461,4.148322426,28.13418786,33.1203229,43.61228316,5.148211749,5.013980455,17.65671782,6.022920257,-2.243957895,6.289849802
lanceolata,5.131853943,9.377045251,1.25163909,-0.692327283,-3.891682827,1.574684005,0.428839966,3.579517674,-0.025676316,-26.52396073,3.901870239,4.122319225,20.99145189,11.8991154,42.53997786,3.758020196,5.149760342,7.682379018,6.379148598,0.013905263,6.419205558
laurifolia,5.600892103,10.51899807,3.006093979,-0.697854113,-3.289727405,1.378547407,0.068158638,3.958269461,-0.605105782,-28.12678022,4.566992403,3.962968053,18.63103805,24.67508012,46.46979392,3.718695301,5.501578721,4.248826464,6.287056042,-2.458410526,6.504934969
lepidocarpodendron,5.515625098,9.446905296,2.723711307,-0.689116574,-3.440249568,1.951216984,0.017338752,3.291810755,-0.300659981,-28.22636797,4.26201225,3.972517431,26.35686668,16.37889207,41.87287189,4.745279094,4.760937546,7.08852297,6.184881397,0.027915789,6.204783384
longifolia,4.504568052,7.437112124,2.284998195,-0.619289197,-3.426986224,2.400181479,0.128037423,3.454791994,-0.657914739,-27.63221197,4.605302881,3.997592697,23.7184605,16.52523111,41.83853084,4.426852273,4.770398858,6.633606624,6.218952357,-0.292473684,6.272222808
lorifolia,5.04306476,9.821526649,3.744807022,-0.62845148,-3.166155418,1.787621061,0.053106053,3.568231669,-0.671071572,-26.79502557,4.613552762,3.904197471,18.89152414,29.07428417,45.82096946,3.414729704,5.882200626,7.211722913,6.25430294,-5.037473684,6.669859937
magnifica,4.415270429,11.22149915,3.75967641,-0.598993043,-3.206580696,1.286584936,0.001880413,3.944766244,-0.843663994,-27.45949275,4.792890293,3.724365012,20.75623432,30.449895,44.12707034,3.865518281,5.397241985,5.350759907,6.042868786,-4.519557895,6.408941123
montana,2.981027617,9.760828152,0.259569062,-0.995673004,-3.939773359,2.647276417,0.34111814,4.027878588,-0.332838081,-26.75818303,4.222239066,3.583990718,27.18356121,34.76660527,42.38763996,3.815589905,5.629739641,8.37719335,6.054593732,-6.428536842,6.613759183
mundii,5.753551256,9.354962736,3.106489685,.,-3.767735882,1.097706565,.,3.655237446,.,.,.,3.943774574,28.66344086,17.94758157,40.61522206,4.919466167,4.637930573,8.004110786,6.124602672,0.087547368,6.142960027
mundiieast,5.587495595,9.369450913,2.602468774,-0.587877361,-3.755267706,1.460843701,0.366719057,3.70861643,-0.182092301,-26.52619386,4.063901316,3.987972708,25.0010063,23.36179742,42.23936104,4.007389227,5.361943874,10.87800291,6.283864885,-2.481168421,6.522555199
nana,4.144676178,8.706538507,-1.097196452,-0.723582933,-4.211599065,2.900192879,0.081122682,3.653922371,-0.12924085,-27.83757836,4.037143236,3.871198645,25.21334651,25.22781255,43.20485548,4.446385877,4.92537041,5.633919828,6.17609824,-2.307347368,6.345667399
neriifolia,5.10580908,9.077597579,2.924417643,-0.661832906,-3.538207229,1.709102327,0.067290053,3.484804742,-0.413885092,-28.02765367,4.383479457,3.982704714,22.60176984,22.66367137,43.43663952,3.914512809,5.3536215,8.864773575,6.299054231,-2.544936842,6.540166584
nitida,5.256516069,10.09734991,3.458296648,-0.579555662,-3.474471096,1.048289319,0.429771508,4.200663112,-0.600876599,-26.50669013,4.474103258,3.979272613,20.23148406,24.42126985,45.35413578,3.760964322,5.492244293,6.997089621,6.313876948,-3.025578947,6.572593816
nubigena,3.264822603,6.398532799,1.245948875,-0.702254077,-3.539886441,1.465893698,-0.082329612,3.807806028,-0.28910269,-27.10070751,4.219147595,4.147998884,21.39949089,31.90504827,47.53124114,4.07875368,5.769558042,12.85057443,6.251034441,-5.657989474,6.736307751
odorata,4.269035711,7.205447928,0.196962673,.,-3.588457778,2.84487951,-0.061501635,4.236071537,-0.619947358,-26.52412393,4.544637442,4.086358565,20.20222499,10.95189001,46.53390999,4.378400332,4.898626016,4.438622356,6.393069438,-0.172115789,6.444178932
parvula,2.663279259,7.742996696,1.774601327,-0.82519348,-3.88593449,2.150587292,0.245909465,4.578916836,-0.130679048,-25.98606382,4.038853871,3.861267858,29.69838025,40.72000155,42.60050717,5.402535467,4.872095626,19.98955253,5.723511068,-4.270957895,6.186085404
piscina,2.971672361,5.455942575,1.255551726,.,-3.517349383,3.675707727,0.218928468,3.879976093,-0.588856973,-28.3204487,4.518822108,3.930481422,22.850505,23.8849986,44.70504716,4.228057909,5.082244635,6.011095005,6.255358966,-2.349547368,6.421105824
pruinosa,3.496507561,9.738884118,4.388418662,.,-3.313416229,1.418970535,-0.596469563,3.573200591,-0.670274817,-25.50426226,4.577336109,3.362999914,16.25430469,37.45695915,44.68404568,3.345586252,5.880491387,4.833022373,5.761343956,-7.406431555,6.409420682
punctata,4.963498316,9.218238473,2.541576943,-0.563399935,-3.480560218,0.884102972,0.155321433,3.927770633,-0.594753072,-26.91368719,4.515862813,3.721157149,19.15186675,32.25946455,45.28411804,3.539043879,5.736810961,6.184981811,6.095100707,-5.758715789,6.567694461
recondita,3.613252586,10.28107864,3.683471153,-0.596143004,-3.394030604,0.890949959,0.263657164,4.048529075,-0.729524617,-26.14882276,4.617968784,3.629089386,24.04488128,31.91172694,43.03737923,4.299585047,5.262909941,4.938676576,5.892115159,-4.329,6.236921474
repens,5.050475579,9.062933817,1.722778022,-0.62321518,-3.495800796,2.305307656,0.030374201,3.259754989,-0.553661755,-26.66004077,4.502161007,3.951811044,20.15142675,24.58516669,45.03796141,3.772899206,5.483408467,7.131752571,6.278188642,-3.260894737,6.555773671
roupelliae,5.317317626,10.37849093,3.124292907,-0.869373599,-3.57158315,1.38328878,0.275290894,4.667789175,-0.286393823,-26.30559073,4.212314729,3.958321015,28.79509461,37.51903096,42.22016431,5.340512492,4.861417381,18.81982997,5.950964539,-5.404231579,6.461863834
rubropilosa,5.532228794,10.77230309,3.710544131,-0.675013897,-3.277204467,1.47595647,0.03107671,4.825082722,-0.414174111,-25.41489616,4.353562214,4.039540099,31.87929703,37.74019357,44.05342272,5.112627298,5.380842235,21.16709214,5.884937955,-2.989915789,6.265844758
rupicola,4.583203697,9.932233033,0.719811241,-0.789372351,-3.602430492,1.248226705,0.378430293,3.701856994,-0.490949991,-27.55056527,4.375371019,3.619607422,21.07210179,34.38937718,43.52197823,3.705988042,5.610257523,7.082944674,6.028490254,-6.124768421,6.537214923
scabra,3.249525409,7.49636691,2.704090436,-0.691732875,-3.061876734,3.052734422,0.139984419,3.366113182,-0.838603926,-27.17603778,4.757280709,3.985012713,23.15013016,17.47960014,42.60641674,4.291353608,4.880477759,6.372267216,6.241764258,-0.6786,6.31683715
scolopendriifolia,2.897598673,6.394339609,3.751611943,-0.518611134,-3.246897413,1.390053871,-0.086575828,3.672607629,-0.542820563,-26.07007896,4.487825393,4.114110507,21.78919819,11.72802312,45.59957249,4.476709318,4.806414573,4.897313979,6.349948197,0.360663158,6.332374627
speciosa,4.471973466,5.817707618,3.384155427,-0.673641491,-3.407792029,1.035803624,0.498899515,3.572998001,-1.050611267,-26.0745436,4.944610393,4.005722223,24.815952,19.10385467,41.42232477,4.345474355,4.902075823,8.333660345,6.248524036,-1.139136842,6.375077296
subulifolia,3.483758776,7.957980893,-1.886209996,-0.657328511,-3.540005655,0.716622684,0.216516407,3.655934808,-0.096318983,-28.30728881,4.014042491,3.934245062,21.95842243,22.2355074,43.08155619,4.028055558,5.20230718,6.378310286,6.221456929,-2.143147368,6.416619868
subvestita,5.476106458,9.943865972,2.68712062,-0.659039818,-3.607083306,1.206792959,0.287333843,4.176431579,-0.241299308,-27.73372483,4.155773088,3.772074677,28.35689835,39.7357217,40.498581,5.340961868,4.817271558,18.35302642,5.999376283,-8.196715789,6.69188275
sulphurea,4.75462502,11.001854,0.589910262,-0.405213499,-3.515015596,1.126722498,0.191395564,4.285881063,-0.432105404,-25.75960118,4.345720866,3.776928576,16.12709064,29.93652408,45.53947345,3.225131576,5.821658291,4.261393397,6.121775628,-4.465568421,6.481448831
susannae,5.756524821,11.31927653,2.559213914,-0.66193779,-3.565760918,1.688435198,0.171982405,3.640668113,-0.541778544,-28.66647522,4.469067813,4.108910728,20.56987066,10.33695975,42.61969572,3.899712539,4.929861747,6.708164703,6.319871751,0.053705263,6.343174533
tenax,2.987239441,8.857482484,2.730144577,-0.592996936,-3.368681732,2.017116916,0.230832282,4.060002755,-0.547736098,-24.61564876,4.431689446,3.87598137,21.51552194,27.16897224,43.84489408,3.544971234,5.907844918,8.736360798,6.199267359,-4.488,6.574906843
venusta,4.025507305,10.46442943,1.196124457,-0.704993597,-3.582087659,1.189286756,0.465902584,3.657155554,-0.268630814,-27.10030572,4.153902201,3.562998441,19.45674014,35.30219019,45.14371297,3.287031936,5.986041659,7.250756766,6.003213175,-7.561821053,6.656621555
welwitschii,4.073095808,8.070117482,2.853640729,-0.847050186,-3.882591007,1.279590057,0.267312319,3.510858581,-0.413178329,-25.87997653,4.323356555,4.114659287,25.47394334,38.38892658,46.33394391,4.878014048,5.007728764,17.04692595,5.985131578,-5.969031579,6.53119881
witzenbergiana,2.739336549,10.42881023,-1.130599689,-0.763986461,-3.377984752,1.176357947,0.418261125,4.250377389,-0.429086823,-27.83929716,4.3532755,3.493217488,20.3594592,33.97428594,43.75876333,4.01471635,5.464819542,4.143187179,5.843235405,-5.882536842,6.333538131
