Trait1,Trait2,Category,Corr.100x100.Low,BF.100x100.Low,Corr.100x100.Mid,BF.100x100.Mid,Corr.100x100.High,BF.100x100.High,Corr.Astral,BF.Astral,BF.Astral.Untransformed,Corr.Astral.Untransformed,BF.SVD,Corr.SVD,BF.RAxML,Corr.RAxML,Contemporary.Corr,Contemporary.P
height,canopy,trait-trait,0.249911698,2.856104,0.437976668,12.418742,0.563887487,23.939914,0.47,14.6058,17.5184,0.5108,14.6374,0.4737,16.4677,0.4756,0.565780061,3.69E-06
height,leafarea,trait-trait,0.460177062,14.43275,0.523347111,18.687534,0.574552968,21.88373,0.5323,19.0716,6.7463,0.3311,19.2748,0.5481,15.9575,0.4941,0.310052439,0.017856451
height,wood,trait-trait,0.131600701,2.215444,0.229702373,2.489908,0.322296459,5.457196,0.257,3.3613,1.8458,0.2129,2.9814,0.2393,1.9681,0.1914,0.136083368,0.308408438
height,lma,trait-trait,-0.10258368,0.983724,0.161113493,1.062624,0.354281762,7.088554,0.1878,1.8373,3.514,0.2145,2.8949,0.1795,1.6225,0.1679,-0.16414391,0.218232569
height,lwr,trait-trait,-0.247596516,4.026218,-0.161263731,1.234838,0.01432388,-0.260782,-0.1656,2.007,0.2877,-0.0458,1.2651,-0.1306,2.8844,-0.1979,-0.242551692,0.066578775
height,fwc,trait-trait,0.027395844,-0.491818,0.137095873,1.37333,0.2712645,4.41694,0.1259,0.4373,0.063,0.0808,0.8747,0.1811,1.0621,0.1741,0.039415072,0.768944404
height,sd,trait-trait,-0.075855338,0.413028,0.061588577,-0.332802,0.162653578,1.261542,0.0932,0.7144,1.5709,-0.134,2.7145,-0.222,2.131,-0.1757,0.16168822,0.225293151
height,nmass,trait-trait,-0.320026687,4.71754,-0.207304499,2.686248,0.105757053,0.481996,-0.2609,3.3073,-0.0273,-0.0668,0.4246,-0.0821,0.0929,0.0223,0.123344299,0.356297851
height,d13c,trait-trait,-0.291482747,3.279778,-0.0481502,0.098166,0.210382905,3.00892,-0.0368,0.2747,0.8971,0.1114,3.6944,0.1751,0.7147,0.1608,-0.149152758,0.263801704
height,cnratio,trait-trait,-0.120959283,1.33953,0.186893211,2.794962,0.302546992,5.298114,0.1695,2.9764,30.9383,-0.647,14.0298,-0.4641,12.423,-0.44,-0.089977132,0.501779227
height,elev,trait-envi,-0.543382063,19.80718,-0.302419442,4.123746,-0.000368756,-0.031968,-0.4747,13.8892,0.3993,0.0874,-0.0838,0.0137,0.0936,0.0405,-0.094234939,0.481671192
height,map,trait-envi,-0.367285532,8.360862,0.002258143,0.374614,0.30730606,5.92729,-0.0021,0.1751,33.377,0.6672,28.8371,0.6257,22.7025,0.5964,0.216134221,0.103202645
height,mat,trait-envi,-0.017563239,0.556786,0.335969842,6.999744,0.625061423,28.196132,0.6266,27.9945,0.2467,-0.0117,-0.1938,-0.041,0.3089,-0.0341,0.388350719,0.002591835
height,pet,trait-envi,-0.319356061,6.38104,-0.035182169,-0.398772,0.240072598,3.590988,-0.0451,-0.0926,4.0416,0.2612,1.0663,0.1326,0.8465,0.139,-0.181491827,0.172735757
height,rfl2mm,trait-envi,-0.222370157,2.692938,0.086499799,0.12471,0.34658391,6.162586,0.1292,0.8835,10.3387,-0.4093,3.1122,-0.2361,2.3374,-0.1904,0.19949955,0.133250268
height,rflcv,trait-envi,-0.416641209,11.404908,-0.103844235,0.305872,0.212687958,2.83703,-0.2261,3.1043,0.0996,0.0389,1.3227,0.0841,-0.2472,0.048,-0.192751273,0.1471624
height,summer,trait-envi,-0.315437636,4.529738,-0.062840359,0.279872,0.251227089,3.41446,-0.0854,0.5188,0.5594,-0.103,0.0811,-0.124,0.9008,-0.1069,0.247634402,0.060905624
height,tmax,trait-envi,-0.118971616,1.547384,0.238982103,1.555452,0.488987271,14.772532,0.4433,11.039,3.9642,0.2487,10.603,0.4231,6.1385,0.3228,0.169793109,0.202581174
height,tmin,trait-envi,0.256643325,6.6606,0.463093384,14.761296,0.602854185,25.57045,0.4746,13.7059,37.4273,0.6895,13.5484,0.4648,10.1412,0.4102,0.258106079,0.050444916
height,tvar,trait-envi,-0.313595612,5.61794,-0.107722739,0.8796,0.276624399,4.43651,-0.1497,1.7493,11.8256,-0.4413,1.2075,-0.1758,0.8476,-0.1174,-0.090392697,0.499797825
canopy,leafarea,trait-trait,-0.068198234,0.743054,0.075083822,0.102564,0.195797871,2.0995,0.1357,-0.084,1.0759,0.1373,0.5328,0.0781,0.28,0.0753,0.064381594,0.631127352
canopy,wood,trait-trait,-0.240547,2.029794,-0.057336828,0.792274,0.134343631,2.445006,-0.0569,0.2777,-0.4185,-0.0546,0.1737,-0.0587,-0.8632,0.0581,0.181197717,0.173444523
canopy,lma,trait-trait,-0.074849076,0.32752,0.137260008,2.346994,0.352592758,7.747646,0.1705,2.2034,2.0935,0.1964,1.7186,0.1637,3.0367,0.2358,-0.065666228,0.624316683
canopy,lwr,trait-trait,-0.205350009,2.551148,0.008147555,-0.228214,0.190439028,2.91912,0.0131,0.5717,-0.0125,-0.0299,-0.4583,-0.0045,0.1279,0.0281,-0.158605808,0.23437825
canopy,fwc,trait-trait,0.056228805,-0.03307,0.314682903,4.9823,0.455637581,13.31674,0.3582,8.0977,2.8243,0.2214,7.5778,0.3547,8.8758,0.4005,0.02468615,0.854060935
canopy,sd,trait-trait,-0.034847252,0.552076,0.153598428,1.414214,0.358441583,6.421518,0.1941,1.2715,0.5394,-0.0928,-0.4098,0.0744,0.6465,0.0927,0.466480215,0.0002235
canopy,nmass,trait-trait,-0.268215323,4.435568,0.028239021,-0.23162,0.259076326,3.453638,0.0683,-0.0804,0.9399,-0.1457,0.5393,0.0638,4.635,0.308,0.175485145,0.187633101
