"","Total_L","SVL","Head_L","Head_W","GBD","Tail_L"
"Acanthophis_antarcticus",6.41184700309342,6.24652652291372,3.44337094368342,3.34878995844245,3.49829220349968,4.5304559049432
"Acanthophis_pyrrhus",6.40522845803084,6.21460809842219,3.40119738166216,2.95543097678047,3.43720781918519,4.65396035015752
"Aspidomorphus_muelleri",5.89206905720155,5.77425250487347,2.58902207364063,2.1314426928464,2.23398095169172,3.69511257181159
"Austrelaps_superbus",6.78110878887251,6.60807843427969,3.15341791588979,2.91164417869948,3.32702131883134,4.9415525392842
"Brachyurophis_australis",5.4553211153577,5.3890717298165,2.19722457733622,1.68454538492091,1.82454929205105,2.70805020110221
"Brachyurophis_incinctus",5.77455154554441,5.7037824746562,2.15176220325946,1.80170980008122,2.10413415427021,3.09104245335832
"Cacophis_squamulosus",6.3882120531006,6.26715538281552,2.74850372198439,2.40390804705899,2.53204000013561,4.21679776351058
"Cryptophis_nigrescens",6.35078091052468,6.20896675492421,2.55918747813218,2.29556428076888,2.44586575306678,4.32747381854928
"Demansia_papuensis",7.24636774724424,7.01840140068058,3.29398382796711,2.69597715090697,2.60638586762068,5.65599173459607
"Denisonia_devisi",6.05247116230859,5.91127013355269,2.79064563425938,2.54557459537183,2.72227497557026,4.0251305803992
"Drysdalia_coronoides",6.15203708175768,5.93602522586949,2.59448150288775,2.2710977023679,2.42035541301403,4.51355262768747
"Echiopsis_curta",5.81943001309397,5.65489340149544,2.66843132559949,2.36790712960319,2.5073194468736,3.93366729523414
"Elapognathus_coronata",6.25935741372852,6.07528557224959,2.75439373471052,2.51505613272134,2.56142098622817,4.47630370862171
"Enhydrina_schistosa",7.04490511712937,6.91572344863131,3.38099467434464,2.67414864942653,4.55387689160054,4.93447393313069
"Furina_barnardi",5.93401884144487,5.75366278915768,2.15854596145277,1.91237981280563,1.99223139148158,4.1323734810154
"Furina_ornata_b",5.8420199155693,5.64449032189595,2.15283347807684,1.86948771814551,1.8776458386339,4.12301347267268
"Hemiaspis_damelii",5.7642104581602,5.58531158235567,2.34152871487647,2.03790293654927,2.18086054389408,3.95515962448108
"Hydrophis_ornatus_ocellatus",6.92264389147589,6.81124437860129,3.49347265777133,3.40119738166216,4.70048036579242,4.67282883446191
"Lapemis_curtus",6.75110146893676,6.64898455002478,3.52929738428947,3.07269331469012,4.53259949315326,4.4188406077966
"Laticauda_colubrina",6.79941313613294,6.67170807079627,2.89092551787613,2.79640900507091,2.9319023221216,4.67820818556812
"Narophis_bertholdi",5.4432953157898,5.34472137372694,2.19196959585297,1.89552327817791,2.117908558255,3.07746484383587
"Neelaps_bimaculatus",5.97380961186926,5.89440283426485,2.19722457733622,1.76985463384001,2.40514168131914,3.40119738166216
"Neelaps_calonotus",5.56599099023635,5.42381747463468,2.04571422616036,1.62042238461637,1.94027125634113,3.54503928589403
"Notechis_scutatus",6.87867103178553,6.70145056236467,3.35349413987851,3.13882873675174,3.32730453703351,5.0610083514956
"Oxyuranus_microlepidotus",7.5884926615376,7.40569851557187,3.73684922923723,3.18581298551292,3.37751240501113,5.79909279294536
"Paraplocephalus_atriceps",6.04737217904628,5.94017125272043,2.89037175789616,2.61006979274201,2.79239134953596,4.17438726989564
"Parasuta_monachus",5.75574133004222,5.64544589481588,2.12465398127557,1.83258142374831,1.97823904239474,3.49650769995132
"Pseudechis_australis_a",7.27031889997883,7.11013178499459,3.4829615919302,3.36059070701447,3.54241664134457,5.35988159432591
"Pseudonaja_modesta",6.03636144519999,5.86928019180753,2.45787603647354,1.98650348086281,2.14315548274937,4.16470868358273
"Pseudonaja_nuchalis",7.1503677658452,6.97480425472741,3.31144663347355,3.00070816972359,3.14848117348959,5.32411553997587
"Rhinoplocephalus_bicolor",5.99719807895574,5.85220247977447,2.56571829252441,2.12823170584927,2.08815348228186,3.99452422693989
"Suta_suta",6.11223490449452,5.97905593599082,2.62628020296548,2.3442020156352,2.37477574054082,4.03032290979599
"Tropidechis_carinatus",6.57368101081504,6.40688085141548,3.00864748351894,2.651831989369,2.78192113945135,4.70048109033761
"Vermicella_intermedia",6.18074409024864,6.12528390486032,2.15595463215382,1.84992794856709,1.98364205833606,3.26105225596498
