Name_in_Duchene,Brain.size,M.avgBL,M.avgWT
Acrobatidae_Acrobates_pygmaeus,0.35,68.5,11.5
Potoroidae_Aepyprymnus_rufescens,12.3,372.5,2450
Dasyuridae_Antechinus_stuartii,0.76,111,50
Potoroidae_Bettongia_lesueur,10.5,360,880
Potoroidae_Bettongia_penicillata,9.56,332.5,1240
Burramyidae_Burramys_parvus,1,110,52.5
Burramyidae_Cercartetus_nanus_northern,0.43,90,29
Dasyuridae_Dasyurus_geffroii,5.17,355,1447.5
Dasyuridae_Dasyurus_maculatus,9.41,569.5,3250
Didelphidae_Didelphis_virginiana,6.72,500,2600
Acrobatidae_Distoechurus_pennatus,1.22,115,51.5
Macropodidae_Dorcopsulus_vanheurni,16.4,490,3250
Microbiotheriidae_Dromiciops_gliroides,0.81,94,37
Peramelidae_Echymipera_kalubu,3.73,360,1325
Hypsiprymnodontidae_Hypsiprymnodon_moschatus,4.13,213,520
Peramelidae_Isoodon_obesulus,3.89,330,1175
Vombatidae_Lasiorhinus_latifrons,55.5,975,27500
Thylacomyidae_Macrotis_lagotis,6.57,425,1750
Marmosidae_Monodelphis_domestica,1.8,150,155
Myrmecobiidae_Myrmecobius_fasciatus,4.25,256,578.5
Notoryctidae_Notoryctes_typhlops,0.78,92,55
Macropodidae_Onychogalea_fraenata,14.7,525,4952
Peramelidae_Perameles_gunnii,4.5,310,800
Peramelidae_Perameles_nasuta,4.96,377.5,925
Peramelidae_Peroryctes_raffrayana,4.01,346,838
Pseudochiridae_Petauroides_volans,4.69,410,1300
Phalangeridae_Phalanger_carmelitae,8.9,375,1850
Phalangeridae_Phalanger_orientalis,9.22,424,1850
Dasyuridae_Phascogale_calura,0.91,113.5,53.5
Dasyuridae_Phascogale_tapoatafa,1.81,210.5,193.5
Phascolarctidae_Phascolarctos_cinereus,20.2,785,12200
Dasyuridae_Planigale_tenuirostris,0.2,70,12.75
Potoroidae_Potorous_tridactylus_north,9.53,348.5,1190
Pseudochiridae_Pseudocheirus_peregrinus_north,4.52,325,800
Pseudochiridae_Pseudocheirus_occidentalis,5.58,370,1200
Pseudochiridae_Pseodochirops_corinnae,5.31,333,1123
Pseudochiridae_Pseudochirulus_forbesi,3.62,265,640
Dasyuridae_Sarcophilus_harrisii,16.09,652,11000
Dasyuridae_Sminthopsis_macroura,0.8,99.5,40.5
Phalangeridae_Spilocuscus_maculatus,13.4,464,3200
Phalangeridae_Strigocuscus_pelengensis,7.37,325,800
Tarsipedidae_Tarsipes_rostratus,0.36,75,9
Thylacinidae_Thylacinus_cynocephalus,51.19,1150,25000
Phalangeridae_Trichosurus_vulpecula,11,450,2900
Vombatidae_Vombatus_ursinus,59,995,30500
Macropodidae_Wallabia_bicolor,32.9,785,16400
