In_analyses,Name_in_Duchene,NameInTree,Brain.size,M.avgBL,M.avgWT,F.avgBL,F.avgWT,  ,F.logBL,M.logWT,M.logBL,Genus species,M.minBL,M.maxBL,F.minBL,F.maxBL,M.minWT,M.maxWT,F.minWT,F.maxWT,M.BC,M.logBC,F.logBC,Biome,Habitat,Ecology
Yes,Acrobatidae_Acrobates_pygmaeus,Acrobates_pygmaeus,0.35,68.5,11.5,68.5,11.5,1.06069784,1.835690571,1.06069784,1.835690571,Acrobates pygmaeus             ,60,77,60,77,8,15,8,15,5.956521739,0.774992731,,,,
Yes,Potoroidae_Aepyprymnus_rufescens,Aepyprymnus_rufescens,12.3,372.5,2450,421.5,2150,3.33243846,2.624797579,3.389166084,2.571126277,Aepyprymnus rufescens          ,345,400,363,480,1900,3000,1300,3000,0.152040816,-0.818039807,,,,
Yes,Dasyuridae_Antechinus_stuartii,Antechinus_stuartii,0.76,111,50,94.5,28.5,1.45484486,1.975431809,1.698970004,2.045322979,Antechinus stuartii            ,81,141,73,116,29,71,17,40,2.22,0.346352974,,,,
Yes,Potoroidae_Bettongia_lesueur,Bettongia_lesueur,10.5,360,880,360,680,2.832508913,2.556302501,2.832508913,2.556302501,Bettongia lesueur              ,360,,360,,680,,680,,0.529411765,-0.276206412,,,,
Yes,Potoroidae_Bettongia_penicillata,Bettongia_pencillata,9.56,332.5,1240,315,1122.5,3.05018635,2.498310554,3.093421685,2.52179165,Bettongia pencillata           ,300,365,280,350,980,1500,745,1500,0.268145161,-0.571630036,,,,
Yes,Burramyidae_Burramys_parvus,Burramys_parvus,1,110,52.5,111,56,1.748188027,2.045322979,1.720159303,2.041392685,Burramys parvus                ,110,,111,,30,75,30,82,2.095238095,0.321233382,,,,
Yes,Burramyidae_Cercartetus_nanus_northern,Cercartetus_nanus,0.43,90,29,90,29,1.462397998,1.954242509,1.462397998,1.954242509,Cercartetus nanus              ,70,110,70,110,15,43,15,43,3.103448276,0.491844512,,,,
Yes,Dasyuridae_Dasyurus_geffroii,Dasyurus_geoffroii,5.17,355,1447.5,310,872.5,2.940765436,2.491361694,3.160618572,2.550228353,Dasyurus geoffroii             ,310,400,260,360,710,2185,615,1130,0.245250432,-0.610390219,,,,
Yes,Dasyuridae_Dasyurus_maculatus,Dasyurus_maculatus,9.41,569.5,3250,400,1700,3.230448921,2.602059991,3.511883361,2.755493728,Dasyurus maculatus             ,380,759,350,450,1500,5000,900,2500,0.175230769,-0.756389633,,,,
Yes,Didelphidae_Didelphis_virginiana,Didelphis_virginiana,6.72,500,2600,450,2000,,,,,,,,,,,,,,,,,,,
Yes,Acrobatidae_Distoechurus_pennatus,Distoechurus_pennatus,1.22,115,51.5,105,49.5,1.694605199,2.021189299,1.711807229,2.06069784,Distoechurus pennatus          ,110,120,100,110,50,53,48,51,2.233009709,0.348890611,,,,
Yes,Macropodidae_Dorcopsulus_vanheurni,Dorcopsulus_vanheurni,6.7,490,4000,490,4000,3.602059991,2.69019608,3.602059991,2.69019608,Dorcopsulus vanheurni          ,490,,490,,3000,5000,3000,5000,0.1225,-0.911863911,,,,
Yes,Microbiotheriidae_Dromiciops_gliroides,Dromiciops_gliroides,0.81,94,37,112,420,,,,,,,,,,,,,,,,,,,
Yes,Peramelidae_Echymipera_kalubu,Echymipera_kalubu,3.73,360,1325,225,825,2.916453949,2.352182518,3.122215878,2.352182518,Echymipera kalubu              ,150,300,150,300,650,2000,650,1000,0.169811321,-0.77003336,,,,
Yes,Hypsiprymnodontidae_Hypsiprymnodon_moschatus,Hypsiprymnodon_moschatus,4.13,213,520,232,544,2.7355989,2.365487985,2.716003344,2.328379603,Hypsiprymnodon moschatus       ,153,273,212,252,360,680,453,635,0.409615385,-0.38762374,,,,
Yes,Peramelidae_Isoodon_obesulus,Isoodon_obesulus,3.89,330,1175,305,800,2.903089987,2.484299839,3.070037867,2.51851394,Isoodon obesulus               ,300,360,280,330,500,1850,400,1200,0.280851064,-0.551523927,,,,
Yes,Vombatidae_Lasiorhinus_latifrons,Lasiorhinus_spp.,55.5,975,27500,980,26750,4.427323786,2.991226076,4.439332694,2.989004616,Lasiorhinus spp.               ,840,1110,850,1110,19000,36000,17500,36000,0.035454545,-1.450328078,,,,
Yes,Thylacomyidae_Macrotis_lagotis,Macrotis_lagotis,6.57,425,1750,340,950,2.977723605,2.531478917,3.243038049,2.62838893,Macrotis lagotis               ,300,550,290,390,1000,2500,800,1100,0.242857143,-0.614649119,,,,
Yes,Marmosidae_Monodelphis_domestica,Monodelphis_domestica,1.8,150,155,90,100,,,,,,,,,,,,,,,,,,,
Yes,Myrmecobiidae_Myrmecobius_fasciatus,Myrmecobius_fasciatus,4.25,256,578.5,233.5,476,2.677606953,2.368286885,2.762303363,2.408239965,Myrmecobius fasciatus          ,222,290,200,267,405,752,305,647,0.442523768,-0.354063398,,,,
Yes,Notoryctidae_Notoryctes_typhlops,Notoryctes_typhlops,0.78,92,55,92,55,1.740362689,1.963787827,1.740362689,1.963787827,Notoryctes typhlops            ,69,115,69,115,40,70,40,70,1.672727273,0.223425138,,,,
Yes,Macropodidae_Onychogalea_fraenata,Onychogalea_fraenata,14.7,605,6500,485,5000,3.698970004,2.685741739,3.812913357,2.781755375,Onychogalea fraenata           ,510,700,430,540,5000,8000,4000,6000,0.093076923,-1.031157982,,,,
Yes,Peramelidae_Perameles_gunnii,Perameles_gunnii,4.5,310,800,310,800,2.903089987,2.491361694,2.903089987,2.491361694,Perameles gunnii               ,270,350,270,350,500,1100,500,1100,0.3875,-0.411728293,,,,
Yes,Peramelidae_Perameles_nasuta,Perameles_nasuta,4.96,377.5,925,282.5,695,2.841984805,2.451018452,2.966141733,2.576916956,Perameles nasuta               ,310,445,232,333,520,1330,390,1000,0.408108108,-0.389224777,,,,
Yes,Peramelidae_Peroryctes_raffrayana,Peroryctes_raffrayana,4.01,346,838,346,838,2.923244019,2.539076099,2.923244019,2.539076099,Peroryctes raffrayana          ,346,,346,,838,,838,,0.412887828,-0.38416792,,,,
Yes,Pseudochiridae_Petauroides_volans,Petauroides_volans,4.69,410,1300,405,1300,3.113943352,2.607455023,3.113943352,2.612783857,Petauroides volans             ,360,460,350,460,900,1700,900,1700,0.315384615,-0.501159496,,,,
Yes,Phalangeridae_Phalanger_carmelitae,Phalanger_gymnotis,8.9,375,1850,375,1850,3.267171728,2.574031268,3.267171728,2.574031268,Phalanger gymnotis             ,350,400,350,400,1500,2200,1500,2200,0.202702703,-0.693140461,,,,
Yes,Phalangeridae_Phalanger_orientalis,Phalanger_vestitus,9.22,424,1850,424,1850,3.267171728,2.627365857,3.267171728,2.627365857,Phalanger vestitus             ,424,,424,,1850,,1850,,0.229189189,-0.639805872,,,,
