species,height,canopy,leafarea,wood,lma,lwr
acaulos,9.173139163,1222.625236,14.04206433,0.578219,0.033414833,4.491966544
acaulos,12.01981483,742.3885307,13.64662859,0.554632,0.033731226,3.91599796
acaulos,11.62835074,2207.61581,17.76120061,0.571239,0.031003458,2.870571006
acaulos,9.980624808,1892.495894,14.50331205,0.520159,0.036375204,2.769272472
acaulos,8.684382379,3494.936043,14.55929813,0.555998,0.02750339,2.170306647
acaulos,13.31944352,3774.483957,13.3417154,0.550964,0.030392984,3.819856084
acaulos,11.18447552,1804.824118,10.39449848,0.594869,0.032829179,3.439647855
acaulos,12.00250623,4682.404323,18.79985386,0.567994,0.033153672,5.214746935
acaulos,10.71744367,1036.837517,15.89882164,0.548080,0.030933601,2.96143653
acaulos,13.42304837,2074.158296,17.11227499,0.532272,0.032648746,3.616186526
acaulos,11.10529321,513.0589535,11.69036405,0.537564,0.031999521,2.908197889
acaulos,12.40499046,1889.715079,18.07260368,0.583542,0.035571929,4.418495938
acaulos,11.65297527,1304.375164,14.28727851,0.597224,0.034627764,2.759153403
acaulos,9.645658972,2763.840914,14.7483315,0.530456,0.03242584,3.188364848
acaulos,10.89607095,571.7276866,19.19632482,0.581963,0.030613622,3.385473873
acaulos,11.47865711,1205.148061,12.2360743,0.555546,0.033589472,2.623888131
acaulos,8.719034861,1769.356756,17.44534974,0.537503,0.032755305,3.018167145
acaulos,11.17945868,1905.911719,16.58710508,0.575588,0.031498631,2.760710966
acaulos,12.96855827,1760.219187,13.76095361,0.568893,0.0345456,2.813337588
acaulos,11.83683022,3536.702756,10.45161859,0.550451,0.02954731,3.078727565
acaulos,10.06803386,652.4754186,15.77115719,0.514402,0.030104572,2.647211246
acaulos,10.80426113,733.1721549,14.06955855,0.568850,0.033208899,3.003172176
acaulos,9.872583101,1605.229383,11.72257072,0.520312,0.029639953,3.603587191
acaulos,14.36391078,2138.122052,13.95785251,0.547189,0.031865408,3.020363851
acaulos,9.030059859,616.4152876,10.17374344,0.555169,0.032312869,2.596632347
acaulos,12.4347527,345.0345653,14.60210045,0.513367,0.030703415,3.111732966
acaulos,8.400895812,774.2558346,18.11622155,0.552525,0.029345414,3.611878464
acaulos,12.17542616,1408.364116,16.5240029,0.549184,0.032753081,3.982982692
acaulos,11.91258552,2524.030927,16.29154554,0.537091,0.02849389,3.338487251
acaulos,11.94586051,3694.447618,15.23520973,0.533753,0.031012507,2.62662627
acaulos,10.90946031,2642.953265,21.21382955,0.547117,0.034082293,2.54676095
acaulos,8.817226467,1692.08792,13.2081103,0.547298,0.036084537,4.330139321
acaulos,12.20275942,1228.738632,14.33971698,0.556281,0.027866979,3.183249052
acaulos,9.9121743,1948.724083,16.76716726,0.546163,0.030941255,3.216015762
acaulos,12.4438021,315.3285533,16.42898789,0.527839,0.029941608,4.029914955
acaulos,9.69073929,1681.827735,10.43812933,0.538172,0.034992103,3.687959086
acaulos,10.00374784,1246.40868,11.21343432,0.568316,0.030764533,3.538689529
acaulos,12.59195264,1768.589733,10.52399128,0.551650,0.029140908,2.78102267
acaulos,11.45090809,1138.428804,14.30360938,0.564804,0.02800923,3.789177633
acaulos,10.47218464,2487.078059,11.7784408,0.538571,0.030180668,5.130981675
acaulos,10.15256992,1408.471549,21.00435862,0.564957,0.030562174,3.23026131
acaulos,12.41927254,1318.636664,16.8303976,0.527232,0.031570432,4.462605459
acaulos,11.54340784,676.8063491,13.01640688,0.547643,0.031844855,4.155497534
acaulos,10.35573778,1485.645834,14.88878428,0.543000,0.030682395,5.519567485
acaulos,12.51781915,1904.712988,15.65319275,0.519252,0.032225978,4.091847987
acaulos,8.792482442,817.0492378,16.66272323,0.561084,0.030430502,4.227099904
acaulos,13.7657555,1454.124795,15.53342385,0.559553,0.031715511,3.227178662
acaulos,11.46748829,2085.264983,12.33215272,0.554596,0.029140056,4.798618053
acaulos,12.12770666,1020.906778,11.94792307,0.574208,0.033055978,2.840947165
acaulos,10.33776132,2207.73885,9.614996257,0.535546,0.033013975,3.383232073
acaulos,11.47018746,1565.289458,13.84088596,0.535928,0.03426415,4.654408339
acaulos,12.67047545,2691.19864,18.17135964,0.547899,0.030259473,3.897378092
acaulos,10.80310464,1789.032783,14.12681227,0.542966,0.031350971,2.337629663
acaulos,10.28864144,1543.433832,11.07398324,0.538053,0.033024467,4.378320654
acaulos,11.8934199,626.7140003,15.69919871,0.525514,0.030034538,4.026216836
acaulos,9.223607534,993.36411,15.04472613,0.565073,0.030126,3.605429433
acaulos,12.16145915,1189.500169,14.24717402,0.561565,0.034094621,3.408827853
